estid,dayOfMonth,timeOfDay,dayOfWeek,domain_category,url_category
ZGkAC2SlmqwAAAAIBgsjAw==,12,3,3,0,5
ZGkAC2SlmqwAAAAIBgsjAw==,17,2,1,0,12
ZGkAC2SlmqwAAAAIBgsjAw==,19,1,3,12,12
ZGkAC2SlmqwAAAAIBgsjAw==,27,2,4,12,12
ZGkAC2SlmqwAAAAIBgsjAw==,19,1,3,12,12
ZGkAC2SlmqwAAAAIBgsjAw==,19,1,3,12,15
ZGkAC2SlmqwAAAAIBgsjAw==,13,1,4,0,5
ZGkAC2SlmqwAAAAIBgsjAw==,20,2,4,12,15
ZGkAC2SlmqwAAAAIBgsjAw==,12,2,3,0,5
ZGkAC2SlmqwAAAAIBgsjAw==,12,2,3,0,5
ZGkAC2SlmqwAAAAIBgsjAw==,20,2,4,12,15
ZGkAC2SlmqwAAAAIBgsjAw==,19,1,3,12,15
ZGkAC2VY90EAAAAID5wcAw==,29,0,6,18,17
ZGkAC2VY90EAAAAID5wcAw==,29,0,6,18,17
ZGkAC2VY90EAAAAID5wcAw==,29,0,6,18,17
ZGkAC2VY90EAAAAID5wcAw==,8,1,6,24,17
ZGkAC2VY90EAAAAID5wcAw==,8,1,6,24,10
ZGkAC2VY90EAAAAID5wcAw==,8,1,6,24,17
ZGkACGQAzOAAAAAIPVaUAw==,14,1,5,15,1
ZGkACGQAzOAAAAAIPVaUAw==,14,1,5,15,1
ZGkACGQAzOAAAAAIPVaUAw==,14,1,5,15,5
ZGkACGQAzOAAAAAIPVaUAw==,21,1,5,9,10
ZGkACGQAzOAAAAAIPVaUAw==,5,1,6,15,1
ZGkACGQAzOAAAAAIPVaUAw==,19,0,3,9,22
ZGkACGQDmaUAAAAIBNU0Aw==,15,1,6,24,8
ZGkACGQDmaUAAAAIBNU0Aw==,15,1,6,24,16
ZGkACGQDmaUAAAAIBNU0Aw==,16,1,0,24,8
ZGkACGQDmaUAAAAIBNU0Aw==,16,1,0,24,16
ZGkACGQDmaUAAAAIBNU0Aw==,23,1,0,10,0
ZGkACGQDmaUAAAAIBNU0Aw==,23,1,0,10,8
ZGkACGQLb6MAAAAIdWW2Aw==,2,1,3,15,4
ZGkACGQLb6MAAAAIdWW2Aw==,19,1,3,0,4
ZGkACGQLb6MAAAAIdWW2Aw==,9,2,0,0,14
ZGkACGQLb6MAAAAIdWW2Aw==,28,1,5,0,16
ZGkACGQLb6MAAAAIdWW2Aw==,28,1,5,0,16
ZGkACGQLb6MAAAAIdWW2Aw==,21,0,5,15,4
ZGkACGTL3EgAAAAJEEK/Aw==,4,1,5,15,22
ZGkACGTL3EgAAAAJEEK/Aw==,4,1,5,15,22
ZGkACGTL3EgAAAAJEEK/Aw==,21,1,5,15,22
ZGkACGTL3EgAAAAJEEK/Aw==,21,1,5,15,14
ZGkACGTL3EgAAAAJEEK/Aw==,4,1,5,0,14
ZGkACGTL3EgAAAAJEEK/Aw==,4,1,5,0,22
ZGkACGTL3EgAAAAJEEK/Aw==,2,1,3,15,22
ZGkACGTL3EgAAAAJEEK/Aw==,2,1,3,15,22
ZGkACGTL3EgAAAAJEEK/Aw==,11,1,2,15,22
ZGkACGTVeh8AAAAJBkccAw==,30,1,0,15,22
ZGkACGTVeh8AAAAJBkccAw==,1,1,2,15,22
ZGkACGTVeh8AAAAJBkccAw==,5,1,6,10,22
ZGkACGTVeh8AAAAJBkccAw==,15,0,6,10,22
ZGkACGTVeh8AAAAJBkccAw==,24,1,1,15,22
ZGkACGTVeh8AAAAJBkccAw==,17,1,1,15,22
ZGkACGTVeh8AAAAJBkccAw==,15,0,6,10,22
ZGkACGTVeh8AAAAJBkccAw==,30,1,0,15,22
ZGkACGTapZYAAAAIB8itAw==,23,1,0,2,11
ZGkACGTapZYAAAAIB8itAw==,12,1,3,14,21
ZGkACGTapZYAAAAIB8itAw==,12,1,3,14,5
ZGkACGTapZYAAAAIB8itAw==,23,1,0,2,11
ZGkACGTapZYAAAAIB8itAw==,22,0,6,24,0
ZGkACGTapZYAAAAIB8itAw==,22,0,6,24,0
ZGkACGU2p7wAAAAIS6eLAw==,6,1,0,24,23
ZGkACGU2p7wAAAAIS6eLAw==,15,1,6,0,15
ZGkACGU2p7wAAAAIS6eLAw==,15,1,6,0,15
ZGkACGU2p7wAAAAIS6eLAw==,15,1,6,0,12
ZGkACGU2p7wAAAAIS6eLAw==,6,1,0,24,23
ZGkACGU3E1AAAAAIYp1XAw==,30,1,0,23,8
ZGkACGU3E1AAAAAIYp1XAw==,30,1,0,23,22
ZGkACGU3E1AAAAAIYp1XAw==,30,1,0,15,22
ZGkACGU3E1AAAAAIYp1XAw==,23,0,0,15,22
ZGkACGU93dYAAAAIJreJAw==,26,1,1,23,22
ZGkACGU93dYAAAAIJreJAw==,4,1,5,23,22
ZGkACGU93dYAAAAIJreJAw==,30,1,0,23,22
ZGkACGU93dYAAAAIJreJAw==,19,2,3,23,12
ZGkACGU93dYAAAAIJreJAw==,19,2,3,23,22
ZGkACGU93dYAAAAIJreJAw==,13,1,4,23,22
ZGkACGU93dYAAAAIJreJAw==,20,1,4,15,22
ZGkACGU93dYAAAAIJreJAw==,20,1,4,15,22
ZGkACGU93dYAAAAIJreJAw==,25,1,2,23,8
ZGkACGVA9A0AAAAIA5X5Aw==,0,0,1,7,7
ZGkACGVA9A0AAAAIA5X5Aw==,3,1,4,4,1
ZGkACGVA9A0AAAAIA5X5Aw==,3,1,4,4,4
ZGkACGVA9A0AAAAIA5X5Aw==,0,0,1,7,4
ZGkACGVA9A0AAAAIA5X5Aw==,0,0,1,7,10
ZGkACGVA9A0AAAAIA5X5Aw==,0,0,1,7,10
ZGkACGVVjZwAAAAIQ8zbAw==,11,1,2,14,5
ZGkACGVVjZwAAAAIQ8zbAw==,26,1,1,9,1
ZGkACGVVjZwAAAAIQ8zbAw==,26,1,1,9,11
ZGkACGVVjZwAAAAIQ8zbAw==,26,1,1,9,11
ZGkACGVVjZwAAAAIQ8zbAw==,26,1,1,14,5
ZGkACGVVjZwAAAAIQ8zbAw==,26,1,1,14,15
ZGkACGVupCsAAAAJBoP7Aw==,0,1,1,9,9
ZGkACGVupCsAAAAJBoP7Aw==,2,1,3,9,9
ZGkACGVupCsAAAAJBoP7Aw==,2,1,3,9,9
ZGkACGVupCsAAAAJBoP7Aw==,28,1,5,10,8
ZGkACGVupCsAAAAJBoP7Aw==,28,1,5,10,9
ZGkACGVupCsAAAAJBoP7Aw==,28,1,5,10,9
ZGkACGVupCsAAAAJBoP7Aw==,30,1,0,9,9
ZGkACWPbjsQAAAAIA7o2Aw==,30,0,0,4,16
ZGkACWPbjsQAAAAIA7o2Aw==,2,0,3,4,16
ZGkACWPbjsQAAAAIA7o2Aw==,5,1,6,10,4
ZGkACWPbjsQAAAAIA7o2Aw==,5,1,6,10,7
ZGkACWPbjsQAAAAIA7o2Aw==,5,0,6,4,2
ZGkACWPbjsQAAAAIA7o2Aw==,18,0,2,4,16
ZGkACWPbjsQAAAAIA7o2Aw==,30,1,0,3,16
ZGkACWPbjsQAAAAIA7o2Aw==,30,1,0,4,16
ZGkACWPbjsQAAAAIA7o2Aw==,11,1,0,3,3
ZGkACWPbjsQAAAAIA7o2Aw==,9,0,0,4,7
ZGkACWTjmXwAAAAJE9erAw==,27,2,4,22,15
ZGkACWTjmXwAAAAJE9erAw==,6,1,0,4,21
ZGkACWTjmXwAAAAJE9erAw==,6,1,0,4,21
ZGkACWTjmXwAAAAJE9erAw==,6,1,0,4,21
ZGkACWTjmXwAAAAJE9erAw==,27,1,4,22,12
ZGkACWTjmXwAAAAJE9erAw==,27,1,4,22,5
ZGkACWTjmXwAAAAJE9erAw==,6,1,0,4,4
ZGkACWVrnekAAAAICFPAAw==,4,1,5,2,2
ZGkACWVrnekAAAAICFPAAw==,8,1,6,4,5
ZGkACWVrnekAAAAICFPAAw==,15,1,6,4,1
ZGkACWVrnekAAAAICFPAAw==,15,1,6,4,4
ZGkACWVrnekAAAAICFPAAw==,3,1,4,2,2
ZGkACWVrnekAAAAICFPAAw==,4,1,5,2,2
ZGkACmPG6ysAAAAIFHAzAw==,30,0,0,15,14
ZGkACmPG6ysAAAAIFHAzAw==,28,2,5,15,22
ZGkACmPG6ysAAAAIFHAzAw==,3,1,4,15,22
ZGkACmPG6ysAAAAIFHAzAw==,24,2,1,15,22
ZGkACmPG6ysAAAAIFHAzAw==,19,1,3,23,22
ZGkACmPG6ysAAAAIFHAzAw==,0,1,1,15,22
ZGkACmPG6ysAAAAIFHAzAw==,29,1,6,23,22
ZGkACmRlDQ0AAAAII4pQAw==,2,2,3,17,16
ZGkACmRlDQ0AAAAII4pQAw==,2,2,3,17,16
ZGkACmRlDQ0AAAAII4pQAw==,22,1,6,13,6
ZGkACmRlDQ0AAAAII4pQAw==,22,1,6,13,13
ZGkACmRlDQ0AAAAII4pQAw==,2,2,3,17,16
ZGkACmT+bzwAAAAIeHQ9Aw==,10,2,6,15,14
ZGkACmT+bzwAAAAIeHQ9Aw==,10,2,6,15,14
ZGkACmT+bzwAAAAIeHQ9Aw==,23,1,0,15,4
ZGkACmT+bzwAAAAIeHQ9Aw==,8,1,6,15,14
ZGkACmT+bzwAAAAIeHQ9Aw==,11,2,2,15,17
ZGkACmT+bzwAAAAIeHQ9Aw==,13,1,4,15,4
ZGkACmT+bzwAAAAIeHQ9Aw==,3,1,4,15,14
ZGkACmT+bzwAAAAIeHQ9Aw==,1,1,2,15,14
ZGkACmT+bzwAAAAIeHQ9Aw==,1,0,2,15,14
ZGkACmT+bzwAAAAIeHQ9Aw==,9,2,0,15,17
ZGkACmT+bzwAAAAIeHQ9Aw==,5,1,6,15,14
ZGkACmT+bzwAAAAIeHQ9Aw==,17,1,1,15,14
ZGkACmT+bzwAAAAIeHQ9Aw==,13,1,4,15,14
ZGkACmT+bzwAAAAIeHQ9Aw==,27,1,4,15,14
ZGkACmT+bzwAAAAIeHQ9Aw==,23,1,0,15,14
ZGkACmT+bzwAAAAIeHQ9Aw==,9,1,0,15,14
ZGkACmT+bzwAAAAIeHQ9Aw==,11,2,2,15,14
ZGkACmT+bzwAAAAIeHQ9Aw==,2,1,3,15,14
ZGkACmT+bzwAAAAIeHQ9Aw==,26,1,1,15,14
ZGkACmT+bzwAAAAIeHQ9Aw==,16,1,0,15,4
ZGkACmT+bzwAAAAIeHQ9Aw==,9,1,0,15,17
ZGkACmT+bzwAAAAIeHQ9Aw==,8,1,6,11,4
ZGkACmT+bzwAAAAIeHQ9Aw==,11,2,2,11,4
ZGkACmT+bzwAAAAIeHQ9Aw==,11,2,2,11,5
ZGkACmT+bzwAAAAIeHQ9Aw==,6,1,0,15,14
ZGkACmT+bzwAAAAIeHQ9Aw==,29,2,6,15,14
ZGkACmT+bzwAAAAIeHQ9Aw==,27,2,4,15,4
ZGkACmT+bzwAAAAIeHQ9Aw==,2,1,3,15,14
ZGkACmT+bzwAAAAIeHQ9Aw==,9,1,0,15,4
ZGkACmT+bzwAAAAIeHQ9Aw==,9,1,0,15,4
ZGkACmT+bzwAAAAIeHQ9Aw==,21,1,5,15,4
ZGkACmT+bzwAAAAIeHQ9Aw==,21,1,5,15,17
ZGkACmTjf7MAAAAIDHimAw==,1,2,2,15,14
ZGkACmTjf7MAAAAIDHimAw==,1,1,2,6,6
ZGkACmTjf7MAAAAIDHimAw==,29,1,6,15,14
ZGkACmTjf7MAAAAIDHimAw==,26,1,1,6,6
ZGkACmTjf7MAAAAIDHimAw==,26,1,1,6,6
ZGkACmTjf7MAAAAIDHimAw==,2,1,3,15,14
ZGkACmTjf7MAAAAIDHimAw==,5,1,6,15,14
ZGkACmTjf7MAAAAIDHimAw==,5,1,6,15,14
ZGkACmTjf7MAAAAIDHimAw==,3,1,4,15,14
ZGkACmUM6+wAAAAJIeF7Aw==,12,1,3,11,1
ZGkACmUM6+wAAAAJIeF7Aw==,4,2,5,8,7
ZGkACmUM6+wAAAAJIeF7Aw==,6,1,0,8,8
ZGkACmUM6+wAAAAJIeF7Aw==,4,1,5,8,7
ZGkACmUM6+wAAAAJIeF7Aw==,4,2,5,8,7
ZGkACmUM6+wAAAAJIeF7Aw==,5,1,6,8,7
ZGkACmUM6+wAAAAJIeF7Aw==,12,1,3,11,1
ZGkACmUM6+wAAAAJIeF7Aw==,12,1,3,11,4
ZGkACmUM6+wAAAAJIeF7Aw==,12,1,3,11,5
ZGkACmUM6+wAAAAJIeF7Aw==,4,1,5,8,7
ZGkACmUM6+wAAAAJIeF7Aw==,4,1,5,8,8
ZGkACmUM6+wAAAAJIeF7Aw==,12,1,3,11,5
ZGkACmVzuR8AAAAIBAx8Aw==,14,1,5,13,20
ZGkACmVzuR8AAAAIBAx8Aw==,9,1,0,13,7
ZGkACmVzuR8AAAAIBAx8Aw==,15,1,6,13,20
ZGkACmVzuR8AAAAIBAx8Aw==,18,1,2,13,5
ZGkACmVzuR8AAAAIBAx8Aw==,0,1,1,4,12
ZGkACmVzuR8AAAAIBAx8Aw==,0,1,1,4,15
ZGkACmVzuR8AAAAIBAx8Aw==,25,1,2,13,9
ZGkACmVzuR8AAAAIBAx8Aw==,30,1,0,13,9
ZGkACmWRdYUAAAAIYuJtAw==,2,0,3,12,2
ZGkACmWRdYUAAAAIYuJtAw==,2,0,3,12,9
ZGkACmWRdYUAAAAIYuJtAw==,2,0,3,12,2
ZGkACmWRdYUAAAAIYuJtAw==,2,2,3,0,20
ZGkACmWRdYUAAAAIYuJtAw==,2,2,3,0,20
ZGkACmWRdYUAAAAIYuJtAw==,2,2,3,0,20
ZGkADGSlsx0AAAAJAw2cAw==,12,3,3,10,4
ZGkADGSlsx0AAAAJAw2cAw==,12,3,3,10,7
ZGkADGSlsx0AAAAJAw2cAw==,6,2,0,5,8
ZGkADGSlsx0AAAAJAw2cAw==,0,1,1,5,8
ZGkADGSlsx0AAAAJAw2cAw==,12,1,3,5,8
ZGkADGSlsx0AAAAJAw2cAw==,12,1,3,5,22
ZGkADGSlsx0AAAAJAw2cAw==,4,2,5,5,22
ZGkADGSlsx0AAAAJAw2cAw==,6,2,0,5,8
ZGkADGSlsx0AAAAJAw2cAw==,6,2,0,5,12
ZGkADGSlsx0AAAAJAw2cAw==,6,2,0,5,8
ZGkADGSlsx0AAAAJAw2cAw==,6,2,0,5,15
ZGkADGSlsx0AAAAJAw2cAw==,6,2,0,5,12
ZGkADGSlsx0AAAAJAw2cAw==,4,2,5,5,8
ZGkADGSlsx0AAAAJAw2cAw==,4,2,5,5,8
ZGkADWQONSoAAAAIL2GfAw==,30,1,0,24,4
ZGkADWQONSoAAAAIL2GfAw==,1,0,2,24,7
ZGkADWQONSoAAAAIL2GfAw==,16,1,0,4,16
ZGkADWQONSoAAAAIL2GfAw==,22,2,6,4,21
ZGkADWQONSoAAAAIL2GfAw==,25,2,2,4,15
ZGkADWQONSoAAAAIL2GfAw==,24,2,1,24,7
ZGkADWWF91IAAAAIBbIXAw==,29,1,6,15,12
ZGkADWWF91IAAAAIBbIXAw==,5,1,6,15,22
ZGkADWWF91IAAAAIBbIXAw==,29,1,6,10,22
ZGkADWWF91IAAAAIBbIXAw==,30,2,0,10,22
ZGkADWWF91IAAAAIBbIXAw==,28,1,5,15,22
ZGkADmWJEQ4AAAAJB5/wAw==,3,2,4,23,22
ZGkADmWJEQ4AAAAJB5/wAw==,30,1,0,4,1
ZGkADmWJEQ4AAAAJB5/wAw==,30,1,0,4,10
ZGkADmWJEQ4AAAAJB5/wAw==,3,2,4,23,22
ZGkADmWJEQ4AAAAJB5/wAw==,30,1,0,4,1
ZGkADmWJEQ4AAAAJB5/wAw==,3,1,4,23,22
ZGmAAmVjuAoAAAAIVstkAw==,22,1,6,9,9
ZGmAAmVjuAoAAAAIVstkAw==,16,2,0,4,5
ZGmAAmVjuAoAAAAIVstkAw==,16,2,0,4,5
ZGmAAmVjuAoAAAAIVstkAw==,16,2,0,4,4
ZGmAAmVjuAoAAAAIVstkAw==,16,2,0,4,5
ZGmAAmVjuAoAAAAIVstkAw==,13,1,4,9,9
ZGmAAmVl+4AAAAAIC3lbAw==,3,0,4,13,4
ZGmAAmVl+4AAAAAIC3lbAw==,2,1,3,0,4
ZGmAAmVl+4AAAAAIC3lbAw==,3,0,4,13,13
ZGmAAmVl+4AAAAAIC3lbAw==,3,0,4,13,4
ZGmAAmVl+4AAAAAIC3lbAw==,3,0,4,13,4
ZGmAAmVl+4AAAAAIC3lbAw==,2,1,3,0,11
ZGmAAmVl+4AAAAAIC3lbAw==,3,0,4,13,4
ZGmABWTCfjIAAAAIBS0sAw==,28,1,5,3,7
ZGmABWTCfjIAAAAIBS0sAw==,2,1,3,24,16
ZGmABWTCfjIAAAAIBS0sAw==,29,1,6,24,10
ZGmABWTCfjIAAAAIBS0sAw==,28,1,5,24,21
ZGmABWTCfjIAAAAIBS0sAw==,28,1,5,3,0
ZGmABWTCfjIAAAAIBS0sAw==,2,1,3,24,19
ZGmABWVg6koAAAAICgpNAw==,1,1,2,17,11
ZGmABWVg6koAAAAICgpNAw==,14,0,5,4,4
ZGmABWVg6koAAAAICgpNAw==,20,0,4,17,16
ZGmABWVg6koAAAAICgpNAw==,6,1,0,17,4
ZGmABWVg6koAAAAICgpNAw==,4,1,5,17,11
ZGmABWVg6koAAAAICgpNAw==,5,0,6,17,4
ZGmABWVg6koAAAAICgpNAw==,5,0,6,17,16
ZGmABWVg6koAAAAICgpNAw==,18,1,2,17,4
ZGmABWVg6koAAAAICgpNAw==,14,0,5,4,4
ZGmABWVg6koAAAAICgpNAw==,1,1,2,17,4
ZGmABWVg6koAAAAICgpNAw==,12,1,3,17,4
ZGmABWVg6koAAAAICgpNAw==,5,1,6,17,4
ZGmABWVg6koAAAAICgpNAw==,4,1,5,17,4
ZGmABWVg6koAAAAICgpNAw==,19,1,3,17,16
ZGmABWVg6koAAAAICgpNAw==,4,1,5,17,4
ZGmABWVg6koAAAAICgpNAw==,5,1,6,17,4
ZGmABWVg6koAAAAICgpNAw==,1,0,2,17,4
ZGmABWVg6koAAAAICgpNAw==,17,1,1,17,4
ZGmABWVg6koAAAAICgpNAw==,14,0,5,17,16
ZGmABWVg6koAAAAICgpNAw==,4,1,5,17,4
ZGmABWVg6koAAAAICgpNAw==,4,1,5,17,11
ZGmABWVg6koAAAAICgpNAw==,4,0,5,17,4
ZGmABWVg6koAAAAICgpNAw==,3,1,4,17,4
ZGmACGU77nwAAAAIHP6YAw==,15,1,6,23,22
ZGmACGU77nwAAAAIHP6YAw==,13,0,4,23,22
ZGmACGU77nwAAAAIHP6YAw==,15,1,6,23,22
ZGmACGU77nwAAAAIHP6YAw==,25,1,2,15,12
ZGmACGU77nwAAAAIHP6YAw==,25,1,2,15,22
ZGmACGVSxwcAAAAIA1oVAw==,19,1,3,17,21
ZGmACGVSxwcAAAAIA1oVAw==,19,1,3,17,21
ZGmACGVSxwcAAAAIA1oVAw==,19,2,3,17,21
ZGmACGVSxwcAAAAIA1oVAw==,24,1,1,22,2
ZGmACGVSxwcAAAAIA1oVAw==,24,1,1,22,16
ZGmACGVSxwcAAAAIA1oVAw==,11,2,2,22,4
ZGmACGVSxwcAAAAIA1oVAw==,11,2,2,22,23
ZGmACGVSxwcAAAAIA1oVAw==,19,1,3,17,21
ZGmACGVSxwcAAAAIA1oVAw==,11,2,2,22,21
ZGmACGVSxwcAAAAIA1oVAw==,19,1,3,17,4
ZGmACGVSxwcAAAAIA1oVAw==,0,2,1,22,16
ZGmACGVSxwcAAAAIA1oVAw==,19,1,3,17,21
ZGmACGVSxwcAAAAIA1oVAw==,19,2,3,17,21
ZGmACGVSxwcAAAAIA1oVAw==,19,2,3,17,21
ZGmACGVSxwcAAAAIA1oVAw==,11,2,2,22,21
ZGmACGVSxwcAAAAIA1oVAw==,11,2,2,22,23
ZGmACGVSxwcAAAAIA1oVAw==,19,1,3,17,4
ZGmACGVSxwcAAAAIA1oVAw==,19,1,3,17,21
ZGmACGVSxwcAAAAIA1oVAw==,19,2,3,17,21
ZGmACWVfSgUAAAAIBdtvAw==,27,1,4,10,9
ZGmACWVfSgUAAAAIBdtvAw==,27,1,4,10,9
ZGmACWVfSgUAAAAIBdtvAw==,25,0,2,15,0
ZGmACWVfSgUAAAAIBdtvAw==,25,0,2,15,14
ZGoAA2OwtyUAAAAIR7JZAw==,27,1,4,14,14
ZGoAA2OwtyUAAAAIR7JZAw==,27,1,4,14,16
ZGoAA2OwtyUAAAAIR7JZAw==,15,2,6,15,7
ZGoAA2OwtyUAAAAIR7JZAw==,15,2,6,15,4
ZGoAA2OwtyUAAAAIR7JZAw==,15,2,6,15,7
ZGoAA2OwtyUAAAAIR7JZAw==,15,2,6,15,4
ZGoAA2PDGzwAAAAILqzQAw==,28,1,5,17,6
ZGoAA2PDGzwAAAAILqzQAw==,6,2,0,17,6
ZGoAA2PDGzwAAAAILqzQAw==,29,2,6,17,6
ZGoAA2PDGzwAAAAILqzQAw==,16,0,0,4,13
ZGoAA2PDGzwAAAAILqzQAw==,16,0,0,4,15
ZGoAA2PDGzwAAAAILqzQAw==,6,2,0,17,6
ZGoAA2PDGzwAAAAILqzQAw==,29,2,6,17,6
ZGoAA2PIx0sAAAAJBKsbAw==,3,1,4,15,22
ZGoAA2PIx0sAAAAJBKsbAw==,4,1,5,15,22
ZGoAA2PIx0sAAAAJBKsbAw==,11,1,0,5,3
ZGoAA2PIx0sAAAAJBKsbAw==,11,1,0,5,5
ZGoAA2PIx0sAAAAJBKsbAw==,21,0,5,15,5
ZGoAA2PIx0sAAAAJBKsbAw==,21,1,5,15,1
ZGoAA2PNAD4AAAAIY7EUAw==,2,2,3,22,10
ZGoAA2PNAD4AAAAIY7EUAw==,18,0,2,14,17
ZGoAA2PNAD4AAAAIY7EUAw==,8,2,6,14,4
ZGoAA2PNAD4AAAAIY7EUAw==,28,1,5,14,4
ZGoAA2PNAD4AAAAIY7EUAw==,19,0,3,14,14
ZGoAA2PNAD4AAAAIY7EUAw==,2,1,3,22,10
ZGoAA2PNAD4AAAAIY7EUAw==,21,2,5,14,17
ZGoAA2PNAD4AAAAIY7EUAw==,11,0,2,14,17
ZGoAA2PNj3MAAAAIGFgfAw==,10,1,6,4,1
ZGoAA2PNj3MAAAAIGFgfAw==,10,1,6,4,1
ZGoAA2PNj3MAAAAIGFgfAw==,22,1,6,10,1
ZGoAA2PNj3MAAAAIGFgfAw==,22,1,6,10,1
ZGoAA2POAdAAAAAJDPzLAw==,4,1,5,0,4
ZGoAA2POAdAAAAAJDPzLAw==,9,2,0,0,4
ZGoAA2POAdAAAAAJDPzLAw==,1,1,2,4,16
ZGoAA2POAdAAAAAJDPzLAw==,12,1,3,4,16
ZGoAA2POAdAAAAAJDPzLAw==,26,1,1,0,4
ZGoAA2POAdAAAAAJDPzLAw==,19,1,3,0,1
ZGoAA2POAdAAAAAJDPzLAw==,19,1,3,0,1
ZGoAA2PPzd4AAAAIW7CZAw==,4,2,5,24,13
ZGoAA2PPzd4AAAAIW7CZAw==,16,2,0,24,3
ZGoAA2PPzd4AAAAIW7CZAw==,5,3,6,5,13
ZGoAA2PPzd4AAAAIW7CZAw==,5,3,6,5,13
ZGoAA2PPzd4AAAAIW7CZAw==,5,3,6,5,13
ZGoAA2PQH8AAAAAIfNZLAw==,23,1,0,4,16
ZGoAA2PQH8AAAAAIfNZLAw==,22,2,6,21,7
ZGoAA2PQH8AAAAAIfNZLAw==,22,2,6,21,7
ZGoAA2PQH8AAAAAIfNZLAw==,22,2,6,21,7
ZGoAA2PQH8AAAAAIfNZLAw==,22,2,6,21,7
ZGoAA2PQH8AAAAAIfNZLAw==,22,2,6,21,7
ZGoAA2PQH8AAAAAIfNZLAw==,22,2,6,21,9
ZGoAA2PQH8AAAAAIfNZLAw==,12,1,3,4,16
ZGoAA2PV8iYAAAAJGLIxAw==,11,2,2,0,12
ZGoAA2PV8iYAAAAJGLIxAw==,11,1,2,12,15
ZGoAA2PV8iYAAAAJGLIxAw==,11,1,2,0,5
ZGoAA2PV8iYAAAAJGLIxAw==,11,2,2,0,15
ZGoAA2PV8iYAAAAJGLIxAw==,11,1,2,0,5
ZGoAA2PV8iYAAAAJGLIxAw==,11,2,2,0,12
ZGoAA2PV8iYAAAAJGLIxAw==,11,1,2,0,12
ZGoAA2PV8iYAAAAJGLIxAw==,11,1,2,0,12
ZGoAA2PV8iYAAAAJGLIxAw==,11,1,2,0,12
ZGoAA2PV8iYAAAAJGLIxAw==,11,1,2,12,15
ZGoAA2PV8iYAAAAJGLIxAw==,11,1,2,12,12
ZGoAA2PV8iYAAAAJGLIxAw==,11,1,2,0,5
ZGoAA2PjCbEAAAAJUU3cAw==,10,1,6,23,22
ZGoAA2PjCbEAAAAJUU3cAw==,10,1,6,23,22
ZGoAA2PjCbEAAAAJUU3cAw==,27,1,4,23,22
ZGoAA2PjCbEAAAAJUU3cAw==,0,1,1,23,22
ZGoAA2PjCbEAAAAJUU3cAw==,29,1,6,10,17
ZGoAA2PjCbEAAAAJUU3cAw==,16,1,0,10,22
ZGoAA2PjCbEAAAAJUU3cAw==,30,1,0,23,22
ZGoAA2Pn8ZIAAAAJJSySAw==,30,1,0,15,1
ZGoAA2Pn8ZIAAAAJJSySAw==,30,1,0,15,8
ZGoAA2Pn8ZIAAAAJJSySAw==,28,2,5,0,0
ZGoAA2Pn8ZIAAAAJJSySAw==,28,2,5,0,0
ZGoAA2Pn8ZIAAAAJJSySAw==,28,2,5,0,15
ZGoAA2PoYtUAAAAJTQOOAw==,5,1,6,15,14
ZGoAA2PoYtUAAAAJTQOOAw==,11,1,2,15,4
ZGoAA2PoYtUAAAAJTQOOAw==,18,2,2,4,1
ZGoAA2PoYtUAAAAJTQOOAw==,12,2,3,4,10
ZGoAA2PoYtUAAAAJTQOOAw==,10,1,1,15,2
ZGoAA2PoYtUAAAAJTQOOAw==,16,0,0,15,4
ZGoAA2Pp76EAAAAJUcszAw==,4,1,5,4,1
ZGoAA2Pp76EAAAAJUcszAw==,4,1,5,4,4
ZGoAA2Pp76EAAAAJUcszAw==,18,3,2,15,17
ZGoAA2Pp76EAAAAJUcszAw==,18,3,2,15,17
ZGoAA2PplngAAAAJNxe5Aw==,24,1,1,4,10
ZGoAA2PplngAAAAJNxe5Aw==,21,1,5,4,5
ZGoAA2PplngAAAAJNxe5Aw==,21,1,5,4,10
ZGoAA2PplngAAAAJNxe5Aw==,21,1,5,4,4
ZGoAA2PplngAAAAJNxe5Aw==,22,0,6,10,21
ZGoAA2PplngAAAAJNxe5Aw==,22,0,6,10,7
ZGoAA2Prf5AAAAAICMjRAw==,29,2,6,4,1
ZGoAA2Prf5AAAAAICMjRAw==,27,1,4,15,14
ZGoAA2Prf5AAAAAICMjRAw==,19,0,3,10,22
ZGoAA2Prf5AAAAAICMjRAw==,19,0,3,4,1
ZGoAA2Prf5AAAAAICMjRAw==,13,1,4,4,1
ZGoAA2Prf5AAAAAICMjRAw==,12,1,3,15,8
ZGoAA2Prf5AAAAAICMjRAw==,12,1,3,15,8
ZGoAA2Prf5AAAAAICMjRAw==,17,1,1,4,1
ZGoAA2Prf5AAAAAICMjRAw==,11,1,2,4,1
ZGoAA2Prf5AAAAAICMjRAw==,19,1,3,4,1
ZGoAA2Prf5AAAAAICMjRAw==,4,0,5,10,22
ZGoAA2Prf5AAAAAICMjRAw==,13,1,4,4,1
ZGoAA2Prf5AAAAAICMjRAw==,13,1,4,4,1
ZGoAA2Q/4xgAAAAIWo30Aw==,28,2,5,19,17
ZGoAA2Q/4xgAAAAIWo30Aw==,28,2,5,19,4
ZGoAA2Q/4xgAAAAIWo30Aw==,1,0,2,24,7
ZGoAA2Q/4xgAAAAIWo30Aw==,13,1,4,19,21
