estid,os,deviceType,li_age,li_gender,li_income,city_location,city_size,city_tech,city_urban,organization
ZGkACGU93dYAAAAIJreJAw==,0,1,5,0,5,0,0,1,2,3
ZGkACGU93dYAAAAIJreJAw==,0,1,5,0,5,0,0,1,2,3
ZGkACGU93dYAAAAIJreJAw==,0,1,5,0,5,0,0,1,2,3
ZGkACGU93dYAAAAIJreJAw==,0,1,5,0,5,0,0,1,2,3
ZGkACGU93dYAAAAIJreJAw==,0,1,5,0,5,0,0,1,2,3
ZGkACGU93dYAAAAIJreJAw==,0,1,5,0,5,0,0,1,2,3
ZGkACGVA9A0AAAAIA5X5Aw==,4,0,5,1,3,1,2,0,1,0
ZGkACGVA9A0AAAAIA5X5Aw==,4,0,5,1,3,1,2,0,1,0
ZGkACGVA9A0AAAAIA5X5Aw==,4,0,5,1,3,1,2,0,1,0
ZGkACGVA9A0AAAAIA5X5Aw==,4,0,5,1,3,1,2,0,1,0
ZGkACGVA9A0AAAAIA5X5Aw==,4,0,5,1,3,1,2,0,1,0
ZGkACGVA9A0AAAAIA5X5Aw==,4,0,5,1,3,1,2,0,1,0
ZGkACGVVjZwAAAAIQ8zbAw==,4,0,1,1,0,0,1,0,1,0
ZGkACGVVjZwAAAAIQ8zbAw==,4,0,1,1,0,0,1,0,1,0
ZGkACGVVjZwAAAAIQ8zbAw==,4,0,1,1,0,0,1,0,1,0
ZGkACGVVjZwAAAAIQ8zbAw==,4,0,1,1,0,0,1,0,1,0
ZGkACGVVjZwAAAAIQ8zbAw==,4,0,1,1,0,0,1,0,1,0
ZGkACGVVjZwAAAAIQ8zbAw==,4,0,1,1,0,0,1,0,1,0
ZGkACGVupCsAAAAJBoP7Aw==,0,1,3,1,5,2,0,1,1,0
ZGkACGVupCsAAAAJBoP7Aw==,0,1,3,1,5,2,0,1,1,0
ZGkACGVupCsAAAAJBoP7Aw==,0,1,3,1,5,2,0,1,1,0
ZGkACGVupCsAAAAJBoP7Aw==,0,1,3,1,5,2,0,1,1,0
ZGkACGVupCsAAAAJBoP7Aw==,0,1,3,1,5,2,0,1,1,0
ZGkACGVupCsAAAAJBoP7Aw==,0,1,3,1,5,2,0,1,1,0
ZGkACGVupCsAAAAJBoP7Aw==,0,1,3,1,5,2,0,1,1,0
ZGkACWPbjsQAAAAIA7o2Aw==,0,1,5,0,3,0,0,1,1,0
ZGkACWPbjsQAAAAIA7o2Aw==,0,1,5,0,3,0,0,1,1,0
ZGkACWPbjsQAAAAIA7o2Aw==,0,1,5,0,3,0,0,1,1,0
ZGkACWPbjsQAAAAIA7o2Aw==,0,1,5,0,3,0,0,1,1,0
ZGkACWPbjsQAAAAIA7o2Aw==,0,1,5,0,3,0,0,1,1,0
ZGkACWPbjsQAAAAIA7o2Aw==,0,1,5,0,3,0,0,1,1,0
ZGkACWPbjsQAAAAIA7o2Aw==,0,1,5,0,3,0,0,1,1,0
ZGkACWPbjsQAAAAIA7o2Aw==,0,1,5,0,3,0,0,1,1,0
ZGkACWPbjsQAAAAIA7o2Aw==,0,1,5,0,3,0,0,1,1,0
ZGkACWPbjsQAAAAIA7o2Aw==,0,1,5,0,3,0,0,1,1,0
ZGkACWTjmXwAAAAJE9erAw==,4,0,4,1,1,2,1,0,1,0
ZGkACWTjmXwAAAAJE9erAw==,4,0,4,1,1,2,1,0,1,0
ZGkACWTjmXwAAAAJE9erAw==,4,0,4,1,1,2,1,0,1,0
ZGkACWTjmXwAAAAJE9erAw==,4,0,4,1,1,2,1,0,1,0
ZGkACWTjmXwAAAAJE9erAw==,4,0,4,1,1,2,1,0,1,0
ZGkACWTjmXwAAAAJE9erAw==,4,0,4,1,1,2,1,0,1,0
ZGkACWTjmXwAAAAJE9erAw==,4,0,4,1,1,2,1,0,1,0
ZGkACWVrnekAAAAICFPAAw==,0,1,4,1,0,2,2,0,1,0
ZGkACWVrnekAAAAICFPAAw==,0,1,4,1,0,2,2,0,1,0
ZGkACWVrnekAAAAICFPAAw==,0,1,4,1,0,2,2,0,1,0
ZGkACWVrnekAAAAICFPAAw==,0,1,4,1,0,2,2,0,1,0
ZGkACWVrnekAAAAICFPAAw==,0,1,4,1,0,2,2,0,1,0
ZGkACWVrnekAAAAICFPAAw==,0,1,4,1,0,2,2,0,1,0
ZGkACmPG6ysAAAAIFHAzAw==,0,1,4,1,3,1,1,0,1,0
